@relation TEST_PATTERNS
@attribute noparams {1, 0}
@attribute void {1, 0}
@attribute recursive {1, 0}
@attribute samename {1, 0}
@attribute leaf {1, 0}
@attribute objCreator {1, 0}
@attribute thisInstanceFieldReader {1, 0}
@attribute thisInstanceFieldWriter {1, 0}
@attribute otherInstanceFieldReader {1, 0}
@attribute otherInstanceFieldWriter {1, 0}
@attribute staticFieldReader {1, 0}
@attribute staticFieldWriter {1, 0}
@attribute typeManipulator {1, 0}
@attribute straightLine {1, 0}
@attribute looper {1, 0}
@attribute switcher {1, 0}
@attribute exceptions {1, 0}
@attribute localReader {1, 0}
@attribute localWriter {1, 0}
@attribute arrCreator {1, 0}
@attribute arrReader {1, 0}
@attribute arrWriter {1, 0}
@attribute jdkClient {1, 0}
@attribute tailCaller {1, 0}
@attribute CountInput real
@attribute CountLineCode real
@attribute CountOutput real
@attribute CountPath real
@attribute Cyclomatic real
@attribute CyclomaticModified real
@attribute CyclomaticStrict real
@attribute Essential real
@attribute MaxNesting real
@attribute vul {1, 0}
@data
0,	1,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	1,	1,	1,	1,	1,	1,	0,	7,	17,	3,	4,	4,	4,	4,	1,	2,	1
0,	0,	0,	0,	0,	1,	1,	0,	1,	0,	1,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	11,	52,	23,	59,	11,	11,	12,	5,	2,	1
0,	1,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	1,	1,	1,	1,	1,	1,	0,	5,	17,	3,	6,	5,	5,	5,	1,	2,	1
0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	1,	1,	0,	0,	0,	1,	1,	4,	34,	7,	92,	11,	11,	11,	10,	2,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	5,	26,	11,	9,	6,	6,	6,	3,	2,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	3,	28,	10,	11,	7,	7,	7,	4,	1,	1
0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	6,	23,	10,	12,	6,	6,	6,	1,	2,	1
0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	4,	17,	6,	6,	6,	6,	7,	6,	3,	1
0,	0,	0,	1,	0,	0,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	1,	5,	18,	6,	4,	4,	4,	4,	4,	2,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	0,	1,	1,	6,	38,	19,	32,	9,	9,	11,	6,	3,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	1,	0,	1,	0,	0,	0,	1,	1,	1,	0,	0,	0,	1,	0,	10,	67,	38,	39,	12,	12,	12,	6,	3,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	4,	17,	7,	7,	5,	5,	5,	4,	1,	1
0,	0,	0,	0,	0,	1,	1,	0,	1,	0,	1,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	0,	12,	25,	9,	3,	3,	3,	10,	1,	2,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	5,	27,	10,	11,	7,	7,	7,	4,	1,	1
1,	1,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	1,	1,	0,	0,	0,	1,	1,	2,	12,	8,	4,	3,	3,	3,	1,	1,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	0,	1,	1,	4,	29,	9,	8,	6,	6,	7,	4,	4,	1
0,	1,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	1,	0,	1,	1,	1,	0,	0,	0,	0,	1,	4,	5,	3,	1,	1,	1,	1,	1,	0,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	0,	1,	0,	4,	15,	5,	4,	3,	3,	3,	1,	1,	1
0,	1,	0,	0,	0,	1,	1,	0,	1,	0,	0,	0,	1,	0,	1,	0,	1,	1,	1,	0,	0,	0,	1,	0,	11,	31,	10,	10,	5,	5,	6,	1,	2,	1
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	3,	19,	6,	8,	6,	6,	8,	1,	2,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	0,	1,	0,	11,	109,	27,	8569,	23,	23,	29,	10,	3,	1
0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	4,	8,	4,	3,	3,	3,	3,	1,	1,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	1,	1,	0,	0,	0,	1,	1,	4,	83,	14,	76,	21,	21,	33,	1,	4,	1
0,	1,	0,	0,	0,	1,	1,	0,	1,	0,	0,	0,	1,	0,	1,	1,	0,	1,	1,	0,	0,	0,	1,	1,	16,	188,	27,	182,	23,	21,	24,	3,	4,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	4,	13,	6,	2,	2,	2,	2,	1,	1,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	4,	13,	6,	2,	2,	2,	2,	1,	1,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	1,	1,	1,	0,	0,	0,	1,	1,	7,	33,	15,	24,	10,	10,	12,	1,	3,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	5,	14,	6,	2,	2,	2,	2,	1,	1,	1
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	1,	0,	0,	0,	1,	1,	0,	0,	0,	0,	1,	4,	7,	2,	1,	1,	1,	1,	1,	0,	1
0,	1,	0,	0,	0,	1,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	7,	17,	7,	2,	2,	2,	2,	1,	1,	1
0,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	1,	1,	1,	0,	0,	0,	1,	1,	2,	14,	5,	2,	2,	2,	3,	1,	1,	1
0,	0,	0,	0,	0,	1,	1,	1,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	0,	1,	0,	8,	39,	10,	41,	9,	9,	9,	4,	2,	1
0,	1,	0,	0,	1,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	2,	3,	1,	1,	1,	1,	1,	1,	0,	1
1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	0,	3,	5,	2,	2,	2,	2,	2,	1,	1,	1
0,	0,	0,	0,	0,	1,	1,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	1,	1,	1,	0,	0,	1,	0,	12,	20,	8,	4,	4,	4,	4,	1,	2,	1
1,	0,	0,	0,	0,	0,	1,	1,	0,	1,	0,	0,	0,	0,	1,	0,	1,	1,	1,	0,	0,	0,	0,	0,	3,	12,	3,	3,	3,	3,	3,	1,	2,	1
1,	0,	0,	0,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	1,	1,	1,	0,	0,	0,	0,	0,	4,	14,	4,	2,	3,	3,	3,	1,	1,	1
1,	1,	0,	1,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	10,	20,	7,	9,	5,	5,	5,	1,	1,	1
0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	1,	0,	4,	8,	2,	2,	2,	2,	2,	1,	1,	1
1,	1,	0,	1,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	10,	20,	7,	9,	5,	5,	5,	1,	1,	1
0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	1,	0,	0,	0,	1,	0,	1,	1,	1,	0,	1,	0,	1,	0,	18,	139,	20,	1242108,	43,	43,	51,	31,	4,	1
1,	1,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	0,	1,	0,	3,	31,	20,	12,	5,	5,	6,	1,	2,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	6,	17,	7,	3,	3,	3,	3,	3,	1,	1
0,	1,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	3,	16,	5,	3,	3,	3,	3,	1,	1,	1
0,	1,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	3,	16,	5,	3,	3,	3,	3,	1,	1,	1
0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	1,	0,	1,	0,	7,	9,	5,	2,	2,	2,	4,	1,	1,	1
0,	1,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	3,	16,	5,	3,	3,	3,	3,	1,	1,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	6,	17,	7,	3,	3,	3,	3,	3,	1,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	0,	1,	0,	1,	0,	1,	1,	1,	0,	0,	0,	1,	1,	11,	103,	26,	393473,	23,	23,	28,	7,	3,	1
0,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	6,	17,	7,	3,	3,	3,	3,	3,	1,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	1,	1,	1,	1,	0,	0,	1,	1,	7,	40,	14,	66,	12,	12,	13,	9,	4,	1
1,	0,	0,	1,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	1,	1,	0,	0,	0,	1,	1,	5,	44,	12,	32,	8,	8,	8,	1,	3,	1
0,	0,	0,	1,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	25,	40,	11,	21,	12,	12,	12,	5,	2,	1
1,	1,	0,	0,	0,	1,	1,	0,	0,	0,	1,	0,	0,	0,	1,	0,	1,	1,	1,	0,	0,	0,	1,	1,	8,	82,	28,	1298,	16,	16,	16,	3,	2,	1
0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	3,	3,	2,	1,	1,	1,	1,	1,	0,	1
0,	1,	0,	1,	0,	1,	1,	1,	0,	0,	1,	0,	1,	0,	1,	0,	0,	1,	1,	0,	1,	0,	1,	1,	24,	56,	18,	128,	14,	14,	15,	8,	3,	1
1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	2,	3,	3,	1,	1,	1,	1,	1,	0,	1
1,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	2,	3,	1,	1,	1,	1,	1,	1,	0,	1
0,	0,	0,	0,	0,	0,	1,	1,	0,	1,	1,	0,	0,	0,	1,	0,	1,	1,	1,	0,	0,	0,	1,	1,	28,	117,	45,	47523,	25,	25,	33,	9,	4,	1
0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	1,	3,	8,	3,	3,	3,	3,	3,	3,	1,	1
0,	1,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	0,	1,	5,	25,	18,	4,	3,	3,	3,	1,	1,	1
0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	0,	1,	0,	0,	0,	3,	9,	2,	3,	3,	3,	3,	3,	2,	1
1,	1,	0,	0,	0,	1,	1,	1,	0,	0,	1,	0,	0,	0,	1,	1,	0,	1,	1,	0,	1,	0,	1,	1,	33,	162,	47,	6048,	32,	20,	37,	1,	4,	1
1,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	3,	8,	4,	2,	2,	2,	2,	1,	1,	1
0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	0,	1,	1,	1,	1,	1,	0,	1,	8,	59,	17,	52,	12,	12,	15,	9,	3,	1
0,	0,	0,	0,	0,	0,	1,	0,	1,	0,	0,	0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	1,	5,	9,	4,	2,	2,	2,	2,	1,	1,	1
0,	1,	0,	0,	0,	1,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	1,	1,	1,	0,	0,	0,	1,	0,	24,	89,	27,	4034,	19,	19,	20,	7,	4,	1
1,	1,	0,	0,	0,	1,	1,	1,	0,	0,	1,	0,	0,	0,	1,	1,	0,	1,	1,	0,	1,	0,	1,	1,	33,	162,	47,	6048,	32,	20,	37,	1,	4,	1
0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	0,	1,	1,	1,	1,	1,	0,	1,	8,	59,	17,	52,	12,	12,	15,	9,	3,	1
0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	1,	1,	1,	0,	0,	0,	1,	1,	26,	85,	27,	1154,	17,	17,	18,	7,	4,	1
1,	1,	0,	0,	0,	1,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	0,	1,	1,	0,	1,	0,	1,	0,	21,	145,	45,	2304000,	30,	30,	35,	5,	4,	1
0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	0,	1,	1,	1,	1,	1,	1,	1,	10,	54,	16,	51,	11,	11,	13,	9,	3,	1
0,	1,	0,	0,	0,	0,	1,	1,	0,	1,	1,	0,	0,	0,	1,	0,	1,	1,	1,	0,	0,	0,	1,	0,	31,	129,	44,	63366,	26,	26,	33,	4,	4,	1
0,	1,	0,	0,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	0,	1,	1,	1,	1,	1,	0,	1,	10,	52,	13,	51,	11,	11,	13,	9,	3,	1
1,	1,	0,	0,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	1,	0,	0,	1,	1,	0,	1,	0,	1,	1,	21,	138,	45,	1720320,	28,	28,	33,	5,	4,	1
0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	0,	0,	0,	0,	1,	4,	12,	4,	3,	3,	3,	3,	3,	2,	1
